13,13.747,490.789,511.553,494.023,488.766,495.679,518.099,506.142,459.342,500.288,520.062,458.127,511.476,470.259,502.845,464.945,491.707,478.979,485.677,493.878,521.124,481.944,490.606,477.375,479.572,488.593,466.670,481.816,488.725,516.507,514.334,465.132,518.016,455.969,520.955,496.429,502.270,460.197,462.210,501.135,505.673,484.989,476.594,502.176,489.647,461.194,503.045,518.386,449.575,497.398,469.552,493.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11.319,510.551,531.861,513.809,508.274,515.770,538.677,526.154,478.338,520.244,540.611,476.971,531.922,489.447,522.849,484.039,511.565,498.336,504.841,513.826,541.281,501.572,510.313,496.721,498.689,508.248,485.751,501.454,508.649,536.602,534.347,484.397,538.380,474.596,541.042,516.378,522.712,478.895,481.172,521.008,525.662,504.739,495.983,522.430,509.418,479.738,523.226,538.598,468.084,517.772,488.510,513.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.122,526.052,547.640,529.277,523.537,531.564,554.722,541.730,493.423,535.868,556.573,491.907,547.903,504.591,538.440,499.177,527.106,513.620,519.863,529.458,556.932,517.020,525.746,511.912,513.745,523.663,500.798,516.871,524.333,552.240,549.912,499.643,554.254,489.332,556.621,531.971,538.708,493.667,496.212,536.549,541.259,520.223,511.245,538.304,524.958,494.404,538.960,554.318,482.762,533.754,503.486,529.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.295,538.467,560.176,541.631,535.736,544.240,567.507,554.125,505.636,548.362,569.254,503.979,560.666,516.785,550.859,511.415,539.528,525.935,531.890,541.970,569.362,529.431,538.093,524.090,525.848,536.009,512.905,529.229,536.935,564.683,562.291,511.949,566.903,501.224,568.981,544.420,551.492,505.572,508.375,548.965,553.696,532.620,523.508,551.010,537.428,506.235,551.495,566.821,494.631,546.555,515.557,541.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5.952,548.776,570.515,551.865,545.847,554.782,578.078,564.361,515.867,558.724,579.711,514.079,571.236,526.954,561.124,521.654,549.825,536.210,541.874,552.352,579.610,539.760,548.334,534.210,535.929,546.259,522.995,539.495,547.425,574.959,572.509,522.231,577.360,511.159,579.164,554.730,562.088,515.508,518.557,559.252,563.986,542.909,533.717,561.555,547.798,516.117,561.858,577.143,504.565,557.184,525.632,551.873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.177,557.756,579.474,560.764,554.644,563.978,587.257,573.240,524.842,567.741,588.773,522.930,580.427,535.845,570.035,530.629,558.783,545.194,550.569,561.391,588.489,548.776,557.247,543.031,544.731,555.187,531.812,548.443,556.581,583.872,581.369,531.233,586.438,519.857,587.981,563.695,571.305,524.200,527.482,568.199,572.923,551.871,542.628,570.736,556.842,524.767,570.855,586.093,513.272,566.443,534.444,560.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,5.020,566.035,587.704,568.956,562.747,572.460,595.700,581.402,533.159,576.050,597.092,531.126,588.889,544.061,578.231,538.937,567.035,553.497,558.583,569.720,596.641,557.100,565.458,551.171,552.857,563.416,539.960,556.698,565.034,592.061,589.507,539.563,594.785,527.905,596.074,571.950,579.794,532.238,535.748,576.439,581.143,560.133,550.853,579.197,565.185,532.769,579.134,594.315,521.335,574.977,542.591,569.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5.489,574.151,595.755,576.978,570.687,580.777,603.965,589.389,541.341,584.192,605.225,539.187,597.177,552.128,586.256,547.103,575.121,561.646,566.438,577.878,604.610,565.268,573.500,559.157,560.828,571.482,547.963,564.796,573.327,600.067,597.463,547.749,602.948,535.812,603.983,580.040,588.111,540.134,543.876,584.514,589.186,568.237,558.921,587.489,573.363,540.631,587.244,602.355,529.261,583.342,550.591,577.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6.557,582.618,604.150,585.343,578.972,589.449,612.584,597.716,549.893,592.688,613.697,547.612,605.822,560.551,594.627,555.632,583.557,570.146,574.631,586.384,612.909,573.794,581.884,567.498,569.140,579.894,556.324,573.253,581.980,608.402,605.745,556.301,611.451,544.071,612.222,588.484,596.787,548.383,552.367,592.939,597.565,576.698,567.338,596.136,581.890,548.842,595.711,610.727,537.541,592.066,558.939,585.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,8.155,591.987,613.446,594.595,588.145,599.037,622.127,606.934,559.362,602.093,623.064,556.943,615.391,569.873,603.899,565.066,592.896,579.540,583.694,595.787,622.085,583.233,591.154,576.742,578.328,589.198,565.587,582.623,591.554,617.612,614.898,565.769,620.847,553.213,621.336,597.840,606.391,557.516,561.764,602.268,606.827,586.074,576.646,605.703,591.315,557.930,605.098,619.983,546.702,601.717,568.172,595.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10.182,602.906,624.298,605.375,598.843,610.194,633.258,617.688,570.394,613.062,633.980,567.821,626.548,580.731,614.723,576.045,603.788,590.464,594.253,606.734,632.777,594.234,601.947,587.534,589.016,600.036,576.394,593.560,602.705,628.330,625.550,576.802,631.783,563.862,631.962,608.767,617.590,568.162,572.707,613.152,617.609,597.020,587.482,616.849,602.281,568.514,616.072,630.762,557.367,612.959,578.918,606.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12.513,616.161,637.504,618.461,611.847,623.714,646.792,630.763,583.778,626.390,647.233,581.029,640.103,593.905,627.893,589.349,617.024,603.689,607.067,620.007,645.757,607.590,615.035,600.663,601.960,613.185,589.529,606.862,616.230,641.323,638.466,590.192,645.041,576.782,644.872,622.065,631.196,581.089,585.976,626.384,630.684,610.338,600.618,630.375,615.567,581.354,629.446,643.840,570.295,626.600,591.938,619.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,15.000,632.692,654.014,634.775,628.086,640.540,663.695,647.095,600.465,643.030,663.756,597.511,657.023,610.325,644.357,605.910,633.548,620.131,623.042,636.532,661.939,624.252,631.334,617.081,618.062,629.571,605.937,623.490,633.084,657.494,654.544,606.890,661.544,592.887,660.981,638.699,648.177,597.217,602.509,642.914,646.965,626.990,616.974,647.238,632.098,597.357,646.198,660.133,586.395,643.600,608.146,636.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,17.487,653.523,674.855,655.316,648.574,661.693,685.017,667.694,621.511,664.020,684.546,618.315,678.355,631.016,665.148,626.756,654.390,640.788,643.163,657.313,682.301,645.259,651.833,637.834,638.299,650.200,626.663,644.500,654.307,677.806,674.743,627.947,682.279,613.186,681.271,659.722,669.587,617.565,623.340,663.777,667.432,648.034,637.552,668.473,652.874,617.527,667.402,680.620,606.672,665.002,628.540,657.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19.818,679.549,700.902,680.943,674.202,688.064,711.663,693.425,647.895,690.272,710.432,644.414,705.008,656.898,691.162,652.820,680.448,666.544,668.294,683.210,707.658,671.541,677.384,663.867,663.533,675.947,652.660,670.836,680.819,703.058,699.855,654.320,708.073,638.601,706.561,686.065,696.339,643.063,649.423,689.885,692.909,674.414,663.233,694.980,678.765,642.778,694.005,706.121,632.041,691.710,654.013,684.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,21.845,711.148,732.458,711.975,705.340,720.013,743.972,724.595,680.155,722.172,741.655,676.336,737.342,688.412,722.744,684.578,712.087,697.795,698.797,714.547,738.255,703.525,708.304,695.629,694.136,707.166,684.407,702.939,713.029,733.486,730.111,686.502,739.186,669.601,737.100,718.126,728.793,674.186,681.260,721.618,723.671,706.557,694.399,727.122,710.120,673.581,726.405,736.885,662.980,724.083,684.994,717.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,23.443,747.657,768.703,747.678,741.321,756.863,781.173,760.426,717.887,759.045,777.334,713.667,774.620,725.019,759.153,721.556,748.608,733.963,734.035,750.595,773.247,740.621,743.875,732.548,729.512,743.179,721.401,740.204,750.311,768.254,764.669,724.003,774.792,705.717,772.046,755.224,766.210,710.461,718.414,758.303,758.927,743.834,730.426,764.190,746.268,709.477,763.892,772.076,699.041,761.396,720.954,754.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24.511,786.999,807.342,785.912,780.066,796.524,821.007,798.696,759.318,798.780,815.149,754.626,814.636,764.807,798.186,761.927,787.877,773.127,772.019,789.227,810.389,780.817,781.991,772.621,767.738,781.916,761.736,780.579,790.619,805.152,801.318,764.940,812.666,745.145,809.146,795.206,806.370,750.063,759.093,797.824,796.500,784.153,769.324,804.031,785.154,748.690,804.245,809.461,738.461,801.474,760.033,795.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,24.980,825.891,844.919,823.394,818.305,835.717,860.009,836.035,801.364,838.039,851.693,796.123,853.968,804.622,836.446,802.611,826.549,812.182,809.601,827.164,846.367,820.855,819.413,812.571,805.740,820.131,802.222,820.735,830.670,840.921,836.804,806.139,849.488,784.845,845.073,834.666,845.829,789.917,800.230,836.846,833.117,824.152,807.917,843.288,823.563,788.218,843.970,845.729,778.245,840.925,799.171,836.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24.823,860.858,877.971,856.744,852.591,870.972,894.629,869.033,840.435,873.297,883.632,834.591,889.059,840.979,870.435,840.117,861.130,847.740,843.443,861.011,877.913,857.185,852.793,848.818,840.203,854.413,839.289,857.062,866.920,872.341,867.928,844.012,881.947,821.380,876.550,870.016,881.010,826.555,838.304,871.851,865.483,860.216,842.798,878.442,858.098,824.657,879.410,877.599,814.981,876.203,834.975,873.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,24.048,889.530,904.383,883.774,880.606,899.923,922.594,895.557,873.701,902.162,909.001,867.240,917.576,871.328,897.903,871.783,889.295,877.360,871.257,888.542,903.074,887.284,879.936,878.816,868.778,882.463,870.295,887.027,896.878,897.469,892.773,875.859,908.002,852.149,901.625,898.846,909.569,857.364,870.585,900.468,891.540,889.846,871.588,907.142,886.448,855.415,908.163,903.084,846.047,904.956,864.950,903.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22.705,911.299,923.901,904.056,901.793,921.950,943.496,915.281,899.951,924.036,927.652,892.915,939.025,894.797,918.436,896.570,910.524,900.238,892.433,909.283,921.654,910.375,900.378,901.785,890.745,903.718,894.304,909.895,919.811,916.085,911.143,900.663,927.376,876.163,920.113,920.593,931.021,881.364,895.957,922.121,910.969,912.365,893.604,928.837,908.014,879.481,929.725,921.957,870.402,926.652,888.212,926.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,20.878,926.956,937.586,918.487,916.970,937.830,958.308,929.194,919.524,939.738,940.676,911.993,954.316,911.968,932.985,914.920,925.684,916.972,907.705,924.098,934.684,927.140,914.976,918.424,906.741,918.979,911.883,926.409,936.432,929.184,924.045,918.930,941.053,893.884,933.058,936.128,946.292,899.041,914.808,937.639,924.718,928.562,909.549,944.378,923.560,897.287,945.038,935.229,888.454,942.165,905.298,942.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,18.681,937.880,946.924,928.464,927.522,948.938,968.510,938.739,933.614,950.674,949.537,925.683,964.902,924.129,943.003,928.052,936.196,928.826,918.390,934.377,943.584,938.933,925.102,930.099,918.029,929.615,924.334,937.967,948.109,938.159,932.871,931.938,950.448,906.529,941.886,946.899,956.852,911.631,928.340,948.432,934.182,939.859,920.744,955.186,934.434,910.022,955.600,944.315,901.387,952.937,917.443,954.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
